YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN
1981,5,16,-999.0,-999.0,-999.0,-999.0,16.97,15.02,16.0,17.46,-264.53,21.33,12.71,,,,,
1981,5,17,-999.0,-999.0,-999.0,-999.0,19.04,17.36,18.19,19.12,-266.21,23.49,16.55,,,,,
1981,5,18,-999.0,-999.0,-999.0,-999.0,19.14,15.72,17.43,19.22,-263.62,24.76,15.23,,,,,
1981,5,19,-999.0,-999.0,-999.0,-999.0,19.56,15.52,17.54,19.11,-261.58,25.43,13.86,,,,,
1981,5,20,-999.0,-999.0,-999.0,-999.0,19.61,16.08,17.85,19.43,-262.81,25.37,15.04,,,,,
1981,5,21,-999.0,-999.0,-999.0,-999.0,18.54,16.76,17.65,18.78,-267.04,22.21,16.1,,,,,
1981,5,22,-999.0,-999.0,-999.0,-999.0,17.55,15.23,16.38,17.92,-265.5,22.48,14.83,,,,,
1981,5,23,-999.0,-999.0,-999.0,-999.0,17.37,15.13,16.25,17.79,-264.95,22.33,14.13,,,,,
1981,5,24,-999.0,-999.0,-999.0,-999.0,17.23,13.8,15.51,17.5,-261.42,23.8,12.07,,,,,
1981,5,25,-999.0,-999.0,-999.0,-999.0,17.4,12.28,14.84,16.62,-262.68,23.09,12.62,,,,,
1981,5,26,-999.0,-999.0,-999.0,-999.0,16.81,12.54,14.68,16.66,-261.0,23.48,11.33,,,,,
1981,5,27,-999.0,-999.0,-999.0,-999.0,16.94,13.41,15.18,17.15,-262.34,23.21,12.39,,,,,
1981,5,28,-999.0,-999.0,-999.0,-999.0,15.98,13.58,14.78,16.3,-265.37,20.57,12.79,,,,,
1981,5,29,-999.0,-999.0,-999.0,-999.0,15.46,13.72,14.59,15.79,-266.05,19.54,12.43,,,,,
1981,5,30,-999.0,-999.0,-999.0,-999.0,16.29,14.31,15.3,16.73,-264.81,21.45,13.1,,,,,
1981,5,31,-999.0,-999.0,-999.0,-999.0,16.86,12.73,14.8,17.01,-262.03,23.12,12.0,,,,,
1981,6,1,-999.0,-999.0,-999.0,-999.0,16.86,11.64,14.25,16.43,-259.91,23.71,10.48,,,,,
1981,6,2,-999.0,-999.0,-999.0,-999.0,17.12,12.14,14.62,16.8,-263.38,22.68,12.91,,,,,
1981,6,3,-999.0,-999.0,-999.0,-999.0,15.98,13.21,14.6,15.82,-265.76,20.53,13.14,,,,,
1981,6,4,-999.0,-999.0,-999.0,-999.0,14.87,13.14,14.01,15.19,-266.34,19.02,12.2,,,,,
1981,6,5,-999.0,-999.0,-999.0,-999.0,15.67,13.76,14.72,16.04,-263.4,21.46,11.71,,,,,
1981,6,6,-999.0,-999.0,-999.0,-999.0,16.56,15.23,15.89,16.43,-265.77,20.98,13.6,,,,,
1981,6,7,-999.0,-999.0,-999.0,-999.0,15.89,13.57,14.73,15.73,-264.28,20.51,11.64,,,,,
1981,6,8,-999.0,-999.0,-999.0,-999.0,12.23,9.47,10.84,12.55,-263.54,18.38,8.77,,,,,
1981,6,9,-999.0,-999.0,-999.0,-999.0,12.82,9.88,11.35,13.2,-263.02,19.26,9.14,,,,,
1981,6,10,-999.0,-999.0,-999.0,-999.0,13.9,9.68,11.8,13.35,-261.35,20.73,8.93,,,,,
1981,6,11,-999.0,-999.0,-999.0,-999.0,14.03,11.06,12.55,13.36,-260.77,20.62,8.24,,,,,
1981,6,12,-999.0,-999.0,-999.0,-999.0,15.89,12.69,14.29,15.4,-263.06,21.78,11.69,,,,,
1981,6,13,-999.0,-999.0,-999.0,-999.0,14.94,11.97,13.45,13.82,-266.35,19.13,12.33,,,,,
1981,6,14,-999.0,-999.0,-999.0,-999.0,15.55,12.84,14.2,15.04,-262.8,21.52,11.17,,,,,
1981,6,15,-999.0,-999.0,-999.0,-999.0,16.29,13.73,15.01,16.1,-263.7,21.67,12.23,,,,,
1981,6,16,-999.0,-999.0,-999.0,-999.0,15.44,13.82,14.63,15.1,-266.02,19.73,12.6,,,,,
1981,6,17,-999.0,-999.0,-999.0,-999.0,13.72,10.73,12.22,13.76,-262.74,18.23,7.83,,,,,
1981,6,18,-999.0,-999.0,-999.0,-999.0,9.08,3.97,6.52,8.83,-261.24,16.15,4.24,,,,,
1981,6,19,-999.0,-999.0,-999.0,-999.0,8.87,2.17,5.52,7.69,-260.72,15.21,2.79,,,,,
1981,6,20,-999.0,-999.0,-999.0,-999.0,11.16,6.24,8.7,10.8,-257.44,19.28,3.58,,,,,
